Id,Governate,Area Name,ATM Name,Latitude,Longitude,Description
da273184-34ae-4a63-8344-b1a0cd739af6,Al-Behera,Damanhour,Damanhour,31.026177,30.451221,Withdrawal
4bb34add-c0c6-41c7-a32d-65b9802d5333,Al-Behera,Damanhour,Damanhour,31.051574,30.463915,Withdrawal
bc7d0ad6-bbdc-4e7c-aaea-9a189cf10705,Al-Behera,Damanhour,Damanhour,31.032701,30.464771,Withdrawal
d4b6e04c-c82b-43c5-bf96-abaae0f9fb53,Al-Behera,Damanhour,Damanhour,31.036388,30.457638,Withdrawal - Deposit - Currency Exchange
6618809c-9c71-4888-b49c-7ade24fa6c96,Al-Behera,Damanhour,Damanhour,31.037774,30.433125,Withdrawal - Deposit - Currency Exchange
29424ef9-1431-49ff-bc97-88f437132d5d,Al-Behera,Damanhour,Damanhour,31.052879,30.462731,Withdrawal - Deposit - Currency Exchange
6f8efa9c-b3bf-44de-bd14-cd87cc6142bc,Al-Behera,Damanhour,Damanhour,31.03936,30.455253,Withdrawal
5cc629b5-7721-4cde-8fa8-891101c65762,Al-Behera,Damanhour,Damanhour,31.03975,30.458095,Withdrawal
c59b3e75-8003-4c60-96b5-f6469b70e96f,Al-Behera,Damanhour,Damanhour,31.044442,30.470853,Withdrawal
72db4164-8980-4d50-92b6-768956251e97,Al-Behera,Damanhour,Damanhour,31.03450281,30.47469798,Withdrawal
101f1246-c1c6-4c5e-b2eb-617064037eb8,Al-Behera,Damanhour,Damanhour,31.03449464,30.47471262,Withdrawal
39af0391-0c27-40c4-87cb-bbfa35dd744b,Al-Behera,Damanhour,Damanhour,31.04241948,30.46890924,Withdrawal - Deposit - Currency Exchange
a8efe9be-313d-4300-8530-5c8f60b56534,Al-Behera,Damanhour,Damanhour,31.036522,30.456495,Withdrawal
231c547d-832f-4a6e-b77e-8bcbf50b616f,Al-Behera,Damanhour,Damanhour,31.04408,30.475274,Withdrawal
1c58e7d1-aea5-4a14-b9e2-5a205c19bb72,Al-Behera,Damanhour,Damanhour,31.041921,30.473102,Withdrawal
31b517ff-01e3-4faf-843f-37f125622c9b,Al-Behera,Damanhour,Damanhour,31.040307,30.468207,Withdrawal
f9f9cfe7-4d15-4dd1-894f-f6030b7c316c,Al-Behera,Damanhour,19011 Pharmacy Damanhour,31.04438807,30.4667885,Withdrawal
3bf1ce29-2204-41c3-be4d-8f5a52661b06,Al-Behera,Damanhour,Albuhiera Azhar Area 2,31.05193166,30.46430279,Withdrawal - Deposit - Currency Exchange
8d95113e-9af9-44dd-b1e5-e80b922f9314,Al-Behera,Damanhour,Middle Damanhour Electricity Company,31.04444207,30.47085251,Withdrawal
e6aa207c-6c7d-4a01-b4c7-7b38db6f9908,Al-Behera,Damanhour,Damanhour train station,31.03428061,30.46823018,Withdrawal
468f7ba6-154d-45a9-afec-09adb4dbd500,Al-Behera,Damanhour,Carrefour - Damanhour,31.03732147,30.45559064,Withdrawal - Deposit - Currency Exchange
00630a64-b655-46a3-8289-a6ead3e6635b,Al-Behera,Damanhour,Sharnoub Community Development Association,31.013742,30.57017929,Withdrawal - Deposit - Currency Exchange
b4cde112-0c68-4248-965b-596e6c8c1883,Al-Behera,Damanhour,We Ciao Mall Albuhira,31.0463062,30.4652941,Withdrawal - Deposit - Currency Exchange
24d53f5f-afef-40af-85ad-9418e30977b8,Al-Behera,Damanhour,Damanhour State Cases Authority ,31.040307,30.468207,Withdrawal
482a3877-553a-4362-9dfc-fe7beb1ab75d,Al-Behera,Damanhour,General Office of the Middle Delta Company for the production of electricity in Damanhour,31.03936,30.455253,Withdrawal
947bd66c-ca13-4929-8751-e512994f8101,Al-Behera,Damanhour,General Office of Buhaira Governorate,31.03975,30.458095,Withdrawal
81fdd874-032c-4551-b862-6bdff09095db,Al-Behera,Damanhour,Behira Azhar Area,31.051574,30.463915,Withdrawal
d6ac7f2b-2698-4f46-aca0-7b9284d62da0,Al-Behera,Damanhour,Albehira Agricultural Administration,31.026177,30.451221,Withdrawal
4e8a2cd7-7bd3-4298-b1be-b034917854b3,Al-Behera,Damanhour,Albuhaira Youth and Sports Directorate,31.036522,30.456495,Withdrawal
3fedd552-06b2-45fd-8a0d-4220b4594731,Al-Behera,Damanhour,The local unit of the Council and the city of Damanhur,31.032701,30.464771,Withdrawal
89c7db28-34bb-4acf-bd40-a629236f52c2,Al-Behera,Damanhour,Alsorady Hypermarket - Damanhour,31.041921,30.473102,Withdrawal
863abcb4-de38-48c9-b6b0-3b292dbedc05,Al-Behera,Damanhour,Directorate of Roads and Transportation in Beheira,31.04408,30.475274,Withdrawal
76742b91-a3dc-4fcf-9d98-ca859939da21,Al-Behera,Damanhour,Damanhour University - Faculty of Commerce,31.037774,30.433125,Withdrawal - Deposit - Currency Exchange
7cf51a64-70c5-48a5-9680-71f84b6ad280,Al-Behera,Damanhour,Ranin Damanhour,31.02842246,30.44735618,Withdrawal - Deposit - Currency Exchange
a576e2d2-5886-4179-bb5c-1c90b8beee40,Al-Behera,Damanhour,Damanhour University - Faculty of Pharmacy and Science,31.052879,30.462731,Withdrawal - Deposit - Currency Exchange
1e1eda76-855b-4ebb-97bd-da82defe8e75,Al-Behera,Damanhour,Damanhour University - Faculty of Arts,31.036388,30.457638,Withdrawal - Deposit - Currency Exchange
f7591d9c-f309-44ae-baa6-0b497c56dbbb,Al-Behera,Damanhour,The local unit of the village of Aflaqa,31.06715304,30.47713406,Withdrawal - Deposit
ac27c3dd-b5ca-468e-a8e1-c45aa4ecdb55,Al-Behera,Damanhour,Egypt Exchange Damanhour,31.032126,30.451576,Withdrawal - Deposit - Currency Exchange
7158defd-3585-4af9-b1e8-fab8f2f1a4ec,Al-Behera,Damanhour,Boys Damanhour Secondary Institute Al-Azhar,31.03146,30.459748,Withdrawal - Deposit - Currency Exchange
a0e5aea7-a9aa-48d6-afe5-003856542bbc,Al-Behera,Edco,Edco,31.301812,30.301819,Withdrawal - Deposit - Currency Exchange
a3bd73b3-b4f8-43f1-b44f-195060977ef2,Al-Behera,Edco,Edco Electrical Engineering -Rashid - Beheira Governorate,31.301812,30.301819,Withdrawal
d406a11c-231f-4d89-b746-f0e063a3a2e1,Al-Behera,El Dalangat,El Dalangat,30.829702,30.535141,Withdrawal
0856eaad-f183-4658-90db-8d8754c1e610,Al-Behera,El Dalangat,El Dalangat,30.768322,30.594444,Withdrawal
370b4420-7ecf-4192-b6e4-08a943b959ff,Al-Behera,El Dalangat,El Dalangat,30.827806,30.536877,Withdrawal
2ea3203c-569a-432d-b0e6-c9cf71933265,Al-Behera,El Dalangat,El Dalangat,30.82785,30.536831,Withdrawal
12ebd9a7-32d5-4b60-a649-2b1e5fcf9be7,Al-Behera,El Dalangat,El Dalangat,30.833752,30.530286,Withdrawal
05e440f5-d766-45cc-9895-60651f757b43,Al-Behera,El Dalangat,Etisalat -Franchiez Almostaqbal - Albostan,30.82974495,30.52961337,Withdrawal
318618b3-2c8e-4a88-9501-3b131f78a116,Al-Behera,El Dalangat,The local unit Alwafaieah Village,30.76832208,30.59444399,Withdrawal
feee9eba-722a-4890-b492-acb0d2bde359,Al-Behera,El Dalangat,Delengat City Council,30.827806,30.536877,Withdrawal
6ef0fb47-d238-4636-9987-a9f3f60afb51,Al-Behera,El Dalangat,Aldelengat Health Administration,30.829702,30.535141,Withdrawal
abdd1bb5-0d18-4686-94ec-392d03b92914,Al-Behera,El Dalangat,Delengat City Council 2,30.82785,30.536831,Withdrawal
a5c37772-c0cc-400f-b0da-034fa57e91a2,Al-Behera,El Dalangat,Dilangat Central Hospital,30.833752,30.530286,Withdrawal
6a494c88-0623-414f-afff-eb0d52a3da29,Al-Behera,El Dalangat,Tamwely Al-Dalengat,30.82955574,30.53589971,Withdrawal - Deposit
6ea13ae6-9467-4c13-8792-7acc0b6747cf,Al-Behera,Etay Al Barroud,Etay Al Barroud,30.886466,30.662967,Withdrawal
9a3e0a5b-f245-41a3-8bb5-fa8a64cc58d6,Al-Behera,Etay Al Barroud,Etay Al Barroud,30.88483388,30.66364617,Withdrawal
951dae42-f87b-4a81-bcf8-bd280373e472,Al-Behera,Etay Al Barroud,Etay Al Barroud,30.884864,30.665297,Withdrawal
90af108e-aff2-4edf-9929-27f40b9cce8e,Al-Behera,Etay Al Barroud,Etay Al Barroud,30.886553,30.667319,Withdrawal
c96cd087-c572-4367-9d13-1efdb9c83f59,Al-Behera,Etay Al Barroud,Etay Al Barroud,30.880486,30.653383,Withdrawal - Deposit - Currency Exchange
b07163ae-08ae-464e-afb7-2e6e42421e51,Al-Behera,Etay Al Barroud,Itay Albaroud Court,30.88655,30.667319,Withdrawal
016e3dba-2bef-4af9-8707-aca2827807d6,Al-Behera,Etay Al Barroud,Al Hoota Health Unit,30.86942495,30.70074488,Withdrawal - Deposit - Currency Exchange
53bf5533-aba1-4cc1-8ae9-a873b60a0dff,Al-Behera,Etay Al Barroud,Itay Albaroud  Educational Administration,30.886466,30.662967,Withdrawal
324ef8bd-6ca6-447d-b766-acb608313398,Al-Behera,Etay Al Barroud,Agricultural Administration Itai El-Baroud - Beheira,30.88563219,30.65812817,Withdrawal - Deposit - Currency Exchange
cedca9cf-d183-4d6a-a69e-4dd5a847dec7,Al-Behera,Etay Al Barroud,Itay Albaroud Electrical Engineering,30.880486,30.653383,Withdrawal - Deposit - Currency Exchange
6106a949-fd36-411e-b59f-083d56342bde,Al-Behera,Etay Al Barroud,Tamwely Etay Al-Baroud,30.88808594,30.67314422,Withdrawal - Deposit
5876d30d-7d8b-4185-a46e-e41af0938349,Al-Behera,Housh Eissa,Housh Eissa,30.9135036,30.29365764,Withdrawal
4a5b2ecc-6377-41df-80a1-54d880e50734,Al-Behera,Housh Eissa,Housh Eissa,30.912765,30.295561,Withdrawal
b5340bdd-1bfa-4327-b0e4-a38ef15c5437,Al-Behera,Housh Eissa,Housh Eissa,30.91770833,30.30043628,Withdrawal - Deposit - Currency Exchange
02b8fe20-317e-4764-b789-a35de0ef7485,Al-Behera,Housh Eissa,Housh Eissa,30.915766,30.297315,Withdrawal
9103732b-087d-44b1-89e9-c4d7b6e0ce6e,Al-Behera,Housh Eissa,Alekhlas Mall,30.7009946,30.2682834,Withdrawal
e5afeec6-3159-4ecd-9fa1-e14796ac72dd,Al-Behera,Housh Eissa,Housh Iesa City Council,30.915766,30.297315,Withdrawal
5f8f48d2-993b-4c94-8f9f-ee5f4cd585f0,Al-Behera,Housh Eissa,Laqana 0 Team Helmy Afifi Camp,30.912765,30.295561,Withdrawal
209ad78c-1b92-41e9-88c6-ea6bf8ba1dbe,Al-Behera,Housh Eissa,Tamwely Hosh Eissa,30.91038848,30.29732155,Withdrawal - Deposit
094c2b51-e590-47f8-b165-5f75b2a18c27,Al-Behera,Kafr Al-Dawar,Kafr Al-Dawar,31.13386822,30.13512986,Withdrawal
9ba42543-0b44-4496-bd47-df4ef7fa62d7,Al-Behera,Kafr Al-Dawar,Kafr Al-Dawar,31.135432,30.129149,Withdrawal
ce4550b1-d109-4b2d-a2d1-56cb0032ca0a,Al-Behera,Kafr Al-Dawar,Kafr Al-Dawar,31.139199,30.121385,Withdrawal
e4cd7a19-74a9-4d2d-8172-1ba746d59b98,Al-Behera,Kafr Al-Dawar,Kafr Al-Dawar,31.139143,30.12155,Withdrawal
12c97687-1d5d-4445-88a2-bd33e9e7fd52,Al-Behera,Kafr Al-Dawar,Kafr Al-Dawar,31.130591,30.122248,Withdrawal
2b1c694f-fefe-4c8f-a2b6-b9875617ed15,Al-Behera,Kafr Al-Dawar,Alshamela Hospital Kafr Aldawar,31.130591,30.122248,Withdrawal
91f01e59-6210-4eb3-8d7a-d7c928d1bc42,Al-Behera,Kafr Al-Dawar,Kafr El-Dawwar City Branch 2,31.04241948,30.46890924,Withdrawal
f8c4a715-ed10-4296-83c3-87a0b542bbec,Al-Behera,Kafr Al-Dawar,Kafr Aldawar Central Hospital,31.139199,30.121385,Withdrawal
